,video_title
0,NewJeans (뉴진스) 'Bubble Gum' Official MV
1,(SUB) 뉴진스(NewJeans) 세 번째 출연권 따낸(?) 애비진스ㅣ할명수 ep.183
2,160억 뉴진스 VS 1500억 아일릿
3,르세라핌으로 알아보는 '개저씨들' 취향
4,뉴진스 새로운 멤버 발표😳!!!포닝
5,[뉴진스] 해린이 데뷔 14일만에 걸그룹 올타임 레전드 찍은 장면 (업스케일링)
6,
7,
8,뉴진스 노래모음 (가사포함) | NewJeans Playlist (Korean Lyrics)
9,"뉴진스의 심경 토로 ""결국 지나갈 것""...오늘 밤 경복궁 특설무대 올라｜지금 이 장면"
10,소름돋는 뉴진스 위약금.. 계획 앞당긴 민희진 왜?
11,"민희진 뉴진스 멤버 비하, 뒷담 욕 결국 인정한 근황, 살 못빼는 개초딩들,하니 개뚱뚱 찌발(실제카톡)"
12,결국 뉴진스도 봐버린 짤들
13,뉴진스 민희진 관계가 불안한 이유
14,[뉴진스] 강고양이 소화력 미쳤다
15,갓 태어난 뿌까팜🦦
16,
17,
18,NewJeans 'Bubble Gum' Lyrics (뉴진스 Bubble Gum 가사) (Color Coded Lyrics)
19,뉴진스 민지 다니엘 입열다 #뉴진스 #민지 #다니엘
20,"2023년은 토끼해라던데!?🐰 Attention부터 Hype boy, Hurt까지 뉴진스 모든 무대 몰아보기 | NewJeans Stage Compilation"
21,NewJeans (뉴진스) 'Ditto' Performance Video
22,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.2)
23,NewJeans (뉴진스) Live @ Lollapalooza 2023 (Full Performance)
24,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 트렌드의 아이콘 뉴진스, 잔잔하며 풋풋한 뉴진스의 히트곡 모음 𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑷𝒍𝒂𝒚𝒍𝒊𝒔𝒕"
25,뉴진스(NewJeans) 한복 디자이너가 남긴 장문의 작업 후기에 사람들이 놀란 이유? / MTN STAR
26,[Light Jeans] NIKE Air Max Campaign Shoot Behind 👟 | NewJeans
27,[Jeans' ZINE] 조금 이른 봄놀이 EP.2 비가 와도 직진 직진🛶 | NewJeans
28,⏰Sleeping beauty…🥀 #NewJeans #뉴진스 #NewJeans_is_Everywhere
29,I'm kickin' back and I'm #NewJeans #뉴진스 #NewJeans_is_Everywhere
30,productive baby 👼 #NewJeans #뉴진스#NewJeans_is_Everywhere
31,Finding Bunnies #NewJeans #뉴진스 #Bunnies_Membership #Bunnies_Club
32,
33,
34,NewJeans (뉴진스) 'Attention' Official MV
35,NewJeans Attention Lyrics (뉴진스 Attention 가사) (Color Coded Lyrics)
36,BABYMONSTER - ‘SHEESH’ M/V
37,ILLIT (아일릿) ‘Magnetic’ Official MV
38,BTS (방탄소년단) 'Dynamite' Official MV
39,NewJeans (뉴진스) 'ETA' Official MV (Performance ver.)
40,NewJeans 'Super Shy' Lyrics (뉴진스 Super Shy 가사) (Color Coded Lyrics)
41,GODS (ft. 뉴진스) (공식 뮤직 비디오) | 2023 월드 챔피언십 주제곡 - 리그 오브 레전드
42,새 국면 맞은 '민희진의 난' 뉴진스 탄원서로 '반격' [뉴스.zip/MBC뉴스]
43,[뮤뱅 원테이크 4K] 뉴진스(NewJeans) 'Attention' 4K Bonus Ver. @뮤직뱅크(Music Bank) 220805
44,"[뉴진스] 충격 뉴진스 위약금 ""6천억원 토해내야"" (""New Jeans"" must pay $500 million as penalty when leaving HYBE)"
45,NewJeans (뉴진스) 'Hype Boy' Official MV (Performance ver.1)
46,NewJeans 'OMG' Lyrics (뉴진스 OMG 가사) (Color Coded Lyrics)
47,NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1)
48,[뉴진스] 강고양이 소화력 미쳤다
49,"데뷔부터 3월까지 뉴진스 멤버 인기순위 From our debut until now, who is the member of NewJeans? (22.8~24.3)(브랜드평판#민희진"
50,뉴진스를 공개 응원한 아이돌
51,갓 태어난 뿌까팜🦦
52,
53,
54,뉴진스와 함께할 새로운 계절을 기다리며🌊 'Attention'부터 'OMG'까지 뉴진스 무대 몰아보기 | NewJeans Music Bank Stage Compilation
55,NewJeans (뉴진스) 'Ditto' Performance Video
56,뉴진스랑 뭐가 다르냐는 질문에 대답한 아일릿
57,뉴진스 까계정 팔로우한 아일릿멤버?
58,르세라핌 아직 정신 못차린듯
59,'뉴진스'와 멕시코 걸그룹 '진스'
60,
61,
62,NewJeans 'Ditto' Lyrics (뉴진스 Ditto 가사) (Color Coded Lyrics)
63,NewJeans(뉴진스) - Ditto @인기가요 inkigayo 20230115
64,뉴진스 조롱한 것 같다는 아일릿 영상 #shorts
65,쏘스뮤직 연습생이었다는 뉴진스 멤버들? #shorts
66,'컨셉 유출?' 뉴진스 스타일리스트 협박한 하이브
67,뉴진스 멤버들 실물 #뉴진스 #shorts
68,
69,
70,"""전쟁이구나""…'아일릿' 공식 SNS, '뉴진스' 악플러 팔로우 논란 / SBS / 스브스픽"
71,New Jeans
72,NewJeans 'New Jeans (ft. The Powerpuff Girls)' Lyrics (뉴진스 New Jeans 가사) (Color Coded Lyrics)
73,"피식대학 지역 비하 '시끌'…해당 업주도 ""조금 무례했지요"" #소셜픽 / JTBC 아침&"
74,[예고] 뉴진스(New Jeans) - Cool with you [코리아 온 스테이지 - 뉴제너레이션] | KBS 방송
75,NewJeans (뉴진스) 'Ditto' Official MV (side A)
76,[#코리아온스테이지] 뉴진스 티저 | KBS 240521 방송
77,NewJeans 'Bubble Gum' Lyrics (뉴진스 Bubble Gum 가사) (Color Coded Lyrics)
78,뉴진스멤버들 오열중
