,video_title
0,NewJeans (뉴진스) 'Bubble Gum' Official MV
1,[Light Jeans] NIKE Air Max Campaign Shoot Behind 👟 | NewJeans
2,[Jeans' ZINE] 조금 이른 봄놀이 EP.2 비가 와도 직진 직진🛶 | NewJeans
3,⏰Sleeping beauty…🥀 #NewJeans #뉴진스 #NewJeans_is_Everywhere
4,I'm kickin' back and I'm #NewJeans #뉴진스 #NewJeans_is_Everywhere
5,productive baby 👼 #NewJeans #뉴진스#NewJeans_is_Everywhere
6,Finding Bunnies #NewJeans #뉴진스 #Bunnies_Membership #Bunnies_Club
7,
8,
9,"뉴진스의 심경 토로 ""결국 지나갈 것""...오늘 밤 경복궁 특설무대 올라｜지금 이 장면"
10,뉴진스 노래모음 (가사포함) | NewJeans Playlist (Korean Lyrics)
11,뉴진스 민지 다니엘 입열다 #뉴진스 #민지 #다니엘
12,뉴진스 새로운 멤버 발표😳!!!포닝
13,르세라핌으로 알아보는 '개저씨들' 취향
14,[뉴진스] 당황한 다니엘..도 맑다
15,160억 뉴진스 VS 1500억 아일릿
16,
17,
18,"민희진 뉴진스 멤버 비하, 뒷담 욕 결국 인정한 근황, 살 못빼는 개초딩들,하니 개뚱뚱 찌발(실제카톡)"
19,소름돋는 뉴진스 위약금.. 계획 앞당긴 민희진 왜?
20,김호중 동거녀 아버지 입열다 / “사람 고쳐쓰는거 아니라더니” 알고보면 소름끼친다는 김호중의 정체
21,"박성민 ""尹 특검법 거부, 재의결 통과되면 정치적 탄핵…합의 통과시켜야""""'미애로 합의봐'에도…이재명 당 되기 쉽지 않다""""총선백서, 내가 위원장이라면""I 여의도펠레 240521화"
22,"""커피 사다줬는데.."" 강형욱 고객들 '이상하다' 느낀 순간 #뉴스다 / JTBC News"
23,[14화 선공개] “신고할까?” 김혜윤 못 알아보는 변우석😥 근데 하필 도둑으로 오해…?! #선재업고튀어 EP.14
24,(SUB) 뉴진스(NewJeans) 세 번째 출연권 따낸(?) 애비진스ㅣ할명수 ep.183
